,n_null,pct_null,dtype
level,17096,87.67,object
rules,13567,69.57,object
set.legalities.standard,13239,67.89,object
legalities.standard,13106,67.21,object
evolvesTo,13073,67.04,object
evolvesFrom,12489,64.05,object
tcg_directLow_max,12311,63.13,float64
set.legalities.expanded,5751,29.49,object
legalities.expanded,5515,28.28,object
avg_damage,3971,20.36,float64
max_damage,3971,20.36,float64
convertedRetreatCost,3896,19.98,float64
nationalPokedexNumbers,3107,15.93,object
types,2996,15.36,object
avg_cec,2992,15.34,float64
hp,2967,15.22,float64
set.ptcgoCode,1989,10.2,object
artist,950,4.87,object
cm_reverseHoloTrend,415,2.13,float64
cm_germanProLow,415,2.13,float64
cm_reverseHoloSell,415,2.13,float64
cm_reverseHoloLow,415,2.13,float64
cm_reverseHoloAvg7,415,2.13,float64
cm_reverseHoloAvg1,415,2.13,float64
cm_avg1,415,2.13,float64
cm_avg7,415,2.13,float64
cm_reverseHoloAvg30,415,2.13,float64
cm_averageSellPrice,415,2.13,float64
cm_trendPrice,415,2.13,float64
cm_avg30,415,2.13,float64
cm_lowPrice,415,2.13,float64
cm_suggestedPrice,415,2.13,float64
rarity,303,1.55,object
tcg_market_max,296,1.52,float64
tcg_high_max,274,1.41,float64
tcg_low_max,274,1.41,float64
tcg_mid_max,274,1.41,float64
subtypes,173,0.89,object
set.printedTotal,0,0.0,int64
set.series,0,0.0,object
set.name,0,0.0,object
set.id,0,0.0,object
retreatCost_count,0,0.0,int64
number,0,0.0,object
name,0,0.0,object
supertype,0,0.0,object
id,0,0.0,object
n_resist,0,0.0,int64
n_abilities,0,0.0,int64
n_weak,0,0.0,int64
set.total,0,0.0,int64
set.releaseDate,0,0.0,datetime64[ns]
n_attacks,0,0.0,int64
n_attacks_damage,0,0.0,int64
